Symbol,Description
A,AgilentTechnologies
AA,AlcoaCorp
AAC,AresAcquisitionCorporationClA
AAIC,ArlingtonAssetInvestmentCorp
AAN,AaronsHoldingsCompanyInc
AAP,AdvanceAutoPartsInc
AAQ.U,AccelerateAcquisitionCorp[Aaqc.U]
AAT,AmericanAssetsTrust
AB,AlliancebernsteinHoldingLP
ABB,AbbLtd
ABBV,AbbvieInc
ABC,AmerisourcebergenCorp
ABEV,AmbevS.A.
ABG,AsburyAutomotiveGroupInc
ABM,ABMIndustriesInc
ABR,ArborRealtyTrust
ABT,AbbottLaboratories
AC,AssociatedCapitalGroupInc
ACA,ArcosaInc
ACB,AuroraCannabisInc
ACC,AmericanCampusCommunitiesInc
ACCO,AccoBrandsCorp
ACEL,AccelEntertainmentInc
ACH,AluminumCorpofChinaLtd
ACI,AlbertsonsCompaniesIncClA
ACIC,AtlasCrestInvestmentCorpClA
ACM,AecomTechnologyCorp
ACN,AccenturePlc
ACND,AscendantDigitalAcquisitionCorpClA
ACP,AvenueIncomeCreditStrategies
ACR,AcresCommercialRealtyCorp
ACRE,AresCommercialRealEstateCor
ACV,AllianzgiDiversifiedIncome&
ADC,AgreeRealtyCorp
ADCT,AdcTherapeuticsSa
ADEX,AditEdtechAcquisitionCorp
ADM,ArcherDanielsMidland
ADNT,AdientPlc
ADS,AllianceDataSystemsCorp
ADT,ADTInc
ADX,AdamsDiversifiedEquityFund
AEB,AegonN.V.PerpCapSecsFloatingRate[Ne]
AEE,AmerenCorp
AEFC,AegonFundingCompanyLlc5.10%
AEG,AegonN.V.
AEL,AmericanEquityInvestmentLife
AEM,Agnico-EagleMinesLtd
AENZ,AenzaS.A.A.
AEO,AmericanEagleOutfitters
AER,AercapHoldingsN.V.
AES,TheAesCorp
AESC,AesCorp
AEVA,AevaTechnologiesInc
AFB,AllianceNationalMunicipal
AFC,AlliedCapitalCorp
AFG,AmericanFinancialGroup
AFGB,AmericanFinancialGroupInc5.875%
AFGC,AmericanFinancialGroupInc5.125%
AFGD,AmericanFinancialGroupInc5.625%
AFGE,AmericanFinancialGroupInc4.500%
AFI,ArmstrongFlooringInc
AFL,AflacInc
AFT,ApolloSeniorFloatingRateFundInc
AG,FirstMajesticSilver
AGA.U,AfricanGoldAcquisitionCorp[Agac.U]
AGAC,AfricanGoldAcquisitionCorporationClA
AGCB,AltimeterGrowthCorp2ClA
AGCO,AgcoCorp
AGD,AlpineGlobalDynamicDividendFund
AGI,AlamosGoldInc
AGM,FederalAgriculturalMortgageCorp
AGO,AssuredGuarantyLtd
AGR,AvangridInc
AGRO,AdecoagroS.A.
AGS,PlayagsInc
AGX,ArganInc
AHC,A.H.BeloCorp
AHH,ArmadaHofflerPropertiesInc
AHT,AshfordHospitalityTrustInc
AI,C3.AiIncClA
AIC,ArlingtonAssetInvestmentCor
AIF,ApolloTacticalIncomeFundInc
AIG,AmericanInternationalGroup
AIN,AlbanyInternationalCorp
AIO,VirtusAllianzgiArtificialIntel&TechOpp
AIR,AARCorp
AIRC,ApartmentIncomeREITCorp
AIT,AppliedIndustrialTechnologies
AIV,ApartmentInvestmentandManagement
AIW,ArlingtonAssetInvestmentCor
AIZ,AssurantInc
AIZN,AssurantInc5.25%SubordinatedNotesDue2061
AIZP,AssurantInc6.50%SeriesDMandatoryConverti
AJAX,AjaxIClA
AJG,ArthurJ.Gallagher&Company
AJRD,AerojetRocketdyneHoldings
AJX,GreatAjaxCorp
